yr_team,dead_cap,defense,injured,offense,specialty,w,l,playoff
2014_arizona-cardinals,0.11005292812720747,0.36059464159310367,0.1262835703299023,0.38900698420198876,0.014061875747797808,11,5,yes
2014_atlanta-falcons,0.07799585479977034,0.3309079292239605,0.06257864730020007,0.4922004109956484,0.036317157680420736,6,10,no
2014_baltimore-ravens,0.11433813959340361,0.4847159647090432,0.010906865770847589,0.3551852285832715,0.0348538013434341,10,6,yes
2014_buffalo-bills,0.19330038698934757,0.4539264812974898,0.023797951529861135,0.3039452473055902,0.025029932877711315,9,7,no
2014_carolina-panthers,0.2216393715872391,0.29573490181704654,0.03178630644409714,0.4247979216128043,0.02604149853881296,7,8,no
2014_chicago-bears,0.13464454409271215,0.28898750682428953,0.06277908313532132,0.47836856602045613,0.03522029992722087,5,11,no
2014_cincinnati-bengals,0.038281808756149074,0.5160718974348376,0.01574577015011146,0.39654778121327566,0.03335274244562617,10,5,yes
2014_cleveland-browns,0.1471189766060149,0.45195710070093587,0.019485862068834625,0.365037176257017,0.016400884367197697,7,9,no
2014_dallas-cowboys,0.20816532804493276,0.3446252750315787,0.01210414020153265,0.4104662871304307,0.02463896959152516,12,4,yes
2014_denver-broncos,0.06906801177324398,0.38158035981022664,0.011349593475329121,0.5017953309269542,0.03620670401424609,12,4,yes
2014_detroit-lions,0.06890128243085214,0.4480094088036959,0.008324126885630634,0.4601142939535648,0.014650887926256583,11,5,yes
2014_green-bay-packers,0.04038425081379254,0.5103608288786956,0.008426455931054634,0.4004563040156191,0.04037216036083809,12,4,yes
2014_houston-texans,0.15832587036473672,0.35881512479784156,0.018528466178367634,0.43937377222331286,0.024956766435741237,9,7,no
2014_indianapolis-colts,0.047205452526209765,0.4498875036853951,0.1337430710014451,0.3230215630118349,0.04614240977511517,11,5,yes
2014_jacksonville-jaguars,0.1765752449186036,0.409431602571107,0.006672786664411446,0.36571314939248845,0.04160721645338947,3,13,no
2014_kansas-city-chiefs,0.07545937546373807,0.36002047660401126,0.05985168386516226,0.4647587376505054,0.03990972641658299,9,7,no
2014_los-angeles-chargers,0.11419070239244883,0.31540689844363456,0.09559890040265281,0.4505109444781187,0.024292554283145095,9,7,no
2014_los-angeles-rams,0.06381241787180834,0.4149043282626339,0.014900203176442429,0.4905294149439312,0.0158536357451841,6,10,no
2014_miami-dolphins,0.059251386078025575,0.4119957431188672,0.050488740015899966,0.4423278242353102,0.035936306551896995,8,8,no
2014_minnesota-vikings,0.0742663106785186,0.44457917215194553,0.05879935976891894,0.4019348030564112,0.020420354344205725,7,9,no
2014_new-england-patriots,0.13383225410223423,0.33750655176862654,0.07748551670340169,0.4157522822797687,0.03542339514596884,12,4,yes
2014_new-orleans-saints,0.11787154811056066,0.2934541814984033,0.045075684153660804,0.5071404911826602,0.03645809505471497,7,9,no
2014_new-york-giants,0.09098904190461354,0.330914797950737,0.10996922099888817,0.43632215374871064,0.031804785397050624,6,10,no
2014_new-york-jets,0.1650604788633751,0.284563950976541,0.023287116586789097,0.48751458659151764,0.03957386698177716,4,12,no
2014_oakland-raiders,0.1397067490258814,0.3053911249995349,0.13610341979915053,0.3819208755425288,0.0368778306329044,3,13,no
2014_philadelphia-eagles,0.0756188937414225,0.36636251735974856,0.08368610835700502,0.45372224992351706,0.020610230618306843,10,6,no
2014_pittsburgh-steelers,0.09865928698766444,0.45566213399692934,0.013821462727002758,0.409074844510169,0.02278227177823448,11,5,yes
2014_san-francisco-49ers,0.07599778781875362,0.3402399478958868,0.08835076041043544,0.4564968044955778,0.03891469937934637,8,8,no
2014_seattle-seahawks,0.1326597619080139,0.42869090013743316,0.05588928268596761,0.3533206371612944,0.029439418107290897,12,4,yes
2014_tampa-bay-buccaneers,0.09598921780360922,0.505549698940689,0.006878917782528462,0.36316320210899006,0.02841896336418324,2,14,no
2014_tennessee-titans,0.09378092074823807,0.40504048503791834,0.1265379361841801,0.3540126577299522,0.020628000299711242,2,14,no
2014_washington-redskins,0.12655466195386716,0.36211654918507624,0.048023113450634376,0.44968026552282075,0.013625409887601504,4,12,no
2015_arizona-cardinals,0.104316618063159,0.39421636888294603,0.04665852275997224,0.44065164837437293,0.014156841919549785,13,3,yes
2015_atlanta-falcons,0.17953291910990413,0.22843952541220017,0.09855085320935127,0.4622024582238704,0.03127424404467403,8,8,no
2015_baltimore-ravens,0.19444237724232957,0.3391360367703822,0.3118823828207396,0.11849216444854122,0.03604703871800738,5,11,no
2015_buffalo-bills,0.10982262038976925,0.40147407306003424,0.2262866209025273,0.23269786547476062,0.02971882017290857,8,8,no
2015_carolina-panthers,0.11695248572526974,0.36715237936301415,0.045404358738141554,0.43898246419143006,0.03150831198214449,15,1,yes
2015_chicago-bears,0.20824452484273404,0.2487421505482629,0.12687456094108857,0.3855977983795488,0.030540965288365727,6,10,no
2015_cincinnati-bengals,0.03465345003450804,0.4612301049794237,0.03435328779439196,0.4308754052966959,0.03888775189498043,12,4,yes
2015_cleveland-browns,0.05102803190491033,0.4466771133626658,0.19797347493413564,0.28320057751795913,0.02112080228032912,3,13,no
2015_dallas-cowboys,0.14849565749415583,0.3585847038299349,0.21385844470049514,0.24660683337661518,0.03245436059879897,4,12,no
2015_denver-broncos,0.042775308726903605,0.38531759992209985,0.0261364483207871,0.5203442599137176,0.02542638311649181,12,4,yes
2015_detroit-lions,0.16223351029436398,0.298412368315639,0.08139767956502653,0.4376421476836376,0.020314294141332966,7,9,no
2015_green-bay-packers,0.038177042544005925,0.47065406493978634,0.04107539262898542,0.4153941417701788,0.03469935811704351,10,6,yes
2015_houston-texans,0.12228585256809761,0.4922503994478373,0.1352971282875852,0.2245171448911351,0.02564947480534484,9,7,yes
2015_indianapolis-colts,0.10535757262589188,0.48141510862495535,0.06286047803101273,0.30039516156419405,0.04997167915394597,8,8,no
2015_jacksonville-jaguars,0.0800536102206689,0.41273560221372974,0.07772149983399725,0.4154719957263209,0.014017292005283259,5,11,no
2015_kansas-city-chiefs,0.1520173180307427,0.4048345291491153,0.027434081517096243,0.38221454670364985,0.03349952459939591,11,5,yes
2015_los-angeles-chargers,0.1301666175549081,0.16577663347418073,0.2157281136826627,0.4457703977862289,0.042558237502019536,4,12,no
2015_los-angeles-rams,0.08171128568417658,0.3264996003552174,0.24507882081066737,0.31868029966218187,0.02802999348775679,7,9,no
2015_miami-dolphins,0.2196332694640464,0.3164524274919963,0.1320872802369734,0.3171765437909046,0.01465047901607929,6,10,no
2015_minnesota-vikings,0.062136501649716784,0.3730577031630253,0.07888872836417869,0.4624515767591532,0.023465490063925995,11,5,yes
2015_new-england-patriots,0.13442452607291644,0.2542557702333457,0.1675550074120677,0.40817932765088594,0.03558536863078419,12,4,yes
2015_new-orleans-saints,0.25985169434339983,0.25404599193694033,0.07921809067433881,0.3758155017514462,0.031068721293874835,7,9,no
2015_new-york-giants,0.13930831596104526,0.32516890356831885,0.18676301568053782,0.3333848118127944,0.015374952977303657,6,10,no
2015_new-york-jets,0.05344302781381027,0.4549983250588441,0.04546474424950373,0.43464709116701905,0.011446811710822902,10,6,no
2015_oakland-raiders,0.1247989121457354,0.2930675718396858,0.15911801995984853,0.38356325216420273,0.03945224389052754,7,9,no
2015_philadelphia-eagles,0.13839151516855708,0.3475963611180389,0.03300742471802408,0.4547785172639593,0.026226181731420658,7,9,no
2015_pittsburgh-steelers,0.14493922570424972,0.3839665125946313,0.05053833735798307,0.40765994890229573,0.01289597544084014,10,6,yes
2015_san-francisco-49ers,0.2295436447041904,0.2522378481582389,0.2284497754245058,0.25103726584216896,0.03873146587089598,5,11,no
2015_seattle-seahawks,0.13161544110724693,0.46312459208597345,0.07611930979557512,0.29118037503499944,0.037960281976205046,10,6,yes
2015_tampa-bay-buccaneers,0.18867882323335416,0.3617313622050392,0.14431145561703698,0.29282267905430465,0.012455679890265019,6,10,no
2015_tennessee-titans,0.1474465854983763,0.4018896969834981,0.14830000915858446,0.26598495208917894,0.03637875627036218,3,13,no
2015_washington-redskins,0.10399517585481875,0.30875830923188124,0.10328124359049398,0.46934477412562664,0.01462049719717941,9,7,yes
2016_arizona-cardinals,0.08827237750579232,0.36190629286425247,0.17975995648730092,0.36211201393764936,0.0079493592050049,7,8,no
2016_atlanta-falcons,0.18640408084942905,0.20367768945422804,0.0944210584728589,0.47349446498255077,0.04200270624093328,11,5,yes
2016_baltimore-ravens,0.09735438795820726,0.31114615165406906,0.12546503083429372,0.4181870668540549,0.04784736269937509,8,8,no
2016_buffalo-bills,0.1389540846299786,0.3763309874167171,0.1291876595488079,0.3288766159861663,0.02665065241833011,7,9,no
2016_carolina-panthers,0.0951465454153644,0.2804235474099372,0.19124968330847328,0.3984252690689783,0.034754954797246815,6,10,no
2016_chicago-bears,0.0858760316148264,0.26457523968734115,0.41488928892140325,0.22099476168561766,0.013664678090811497,3,13,no
2016_cincinnati-bengals,0.0254671746509733,0.4686559827412634,0.19600380593577799,0.28353647214692834,0.02633656452505699,6,9,no
2016_cleveland-browns,0.27321127207169976,0.3128333199679457,0.0901922069496875,0.30266068326732914,0.021102517743337823,1,15,no
2016_dallas-cowboys,0.02149530456421126,0.36170040866156294,0.03987438533346656,0.5375997471177375,0.03933015432302175,13,3,yes
2016_denver-broncos,0.10388934952589567,0.4502881752663296,0.13051658326654184,0.3059701736973445,0.009335718243888371,9,7,no
2016_detroit-lions,0.20497735123253086,0.293413141252219,0.05618708044067583,0.4088263332361405,0.03659609383843387,9,7,yes
2016_green-bay-packers,0.03018621187727975,0.40591425350272936,0.09783360662144211,0.4414044608451472,0.024661467153401607,10,6,yes
2016_houston-texans,0.05638811703670521,0.3829026716588729,0.18306146347831162,0.35392763494026847,0.02372011288584185,9,7,yes
2016_indianapolis-colts,0.12657108040482876,0.25778033245150256,0.1113391682567631,0.45931816548650833,0.04499125340039727,8,8,no
2016_jacksonville-jaguars,0.034587792485127604,0.4074744731585808,0.23290022396693727,0.3028982271357626,0.02213928325359171,3,13,no
2016_kansas-city-chiefs,0.09295151330904597,0.3336681917749076,0.1462802633611784,0.3875864971919315,0.03951353436293659,12,4,yes
2016_los-angeles-chargers,0.08948538632249932,0.26203136862285625,0.2567729330743279,0.3794548754037364,0.01225543657658012,5,11,no
2016_miami-dolphins,0.11396656873271092,0.3512200304564473,0.24419929505258042,0.2759108820431021,0.014703223715159277,10,6,yes
2016_minnesota-vikings,0.04779665639511868,0.3642243389872814,0.1948809299682503,0.3816286739348238,0.011469400714525818,8,8,no
2016_new-england-patriots,0.13408161496451312,0.3254783972286316,0.07462246149139405,0.4228438831491239,0.04297364316633732,14,2,yes
2016_new-orleans-saints,0.2986417833587175,0.24202707827900194,0.0991356086678927,0.33010821796060086,0.030087311733787026,7,9,no
2016_new-york-giants,0.09789266111186229,0.4293941457871175,0.0800131383795833,0.3744970057107918,0.018203049010645133,11,5,yes
2016_new-york-jets,0.10998227739333404,0.38127674502160963,0.2768847934042524,0.20207815197023032,0.029778032210573555,5,11,no
2016_oakland-raiders,0.05737104495200477,0.40323671867823624,0.05232792575868729,0.4235255081021064,0.06353880250896535,12,4,yes
2016_philadelphia-eagles,0.1591191965321657,0.3769307108191431,0.0576312211855213,0.3868217336573512,0.019497137805818764,7,9,no
2016_pittsburgh-steelers,0.07752087432560531,0.29817780707253494,0.1320008459367372,0.4784550863654904,0.013845386299632174,11,5,yes
2016_san-francisco-49ers,0.08994840664855716,0.2905348327155961,0.28022338619487386,0.30460185977312343,0.034691514667849484,2,14,no
2016_seattle-seahawks,0.09329554648819234,0.43197001365211735,0.10421768172801567,0.3367574873171689,0.03375927081450568,10,5,yes
2016_tampa-bay-buccaneers,0.04313619318667936,0.4861569007321981,0.1322863357915146,0.31732131712878864,0.02109925316081929,9,7,no
2016_tennessee-titans,0.12290542104740006,0.3984591054784689,0.10497099564107398,0.3322642925162988,0.04140018531675823,9,7,no
2016_washington-redskins,0.11242638570298381,0.25044522239980044,0.08758894042236538,0.5320289544597182,0.017510497015132194,8,7,no
2017_arizona-cardinals,0.05916128268900326,0.35382805890841235,0.33261188570331773,0.2288039639414143,0.02559480875785239,8,8,no
2017_atlanta-falcons,0.04978093045639666,0.3340584708104438,0.06156031368658452,0.5153874375866981,0.03921284745987694,10,6,yes
2017_baltimore-ravens,0.15248277946271438,0.26138225225191447,0.10605860601759659,0.43417959216101,0.045896770106764594,9,7,no
2017_buffalo-bills,0.1960490978443459,0.2771038253707967,0.12955525050422212,0.37103642112429047,0.0262554051563448,9,7,yes
2017_carolina-panthers,0.07082786526926815,0.37880346095552936,0.05194439760970872,0.4658430262940963,0.03258124987139749,11,5,yes
2017_chicago-bears,0.08015480032882828,0.2721089161916219,0.25987373421260557,0.37813292176081414,0.009729627506130118,5,11,no
2017_cincinnati-bengals,0.02584482714370683,0.40370058209723947,0.17622850649361976,0.3631415285428482,0.031084555722585727,7,9,no
2017_cleveland-browns,0.29484972587951097,0.1869791253155123,0.2036731463188218,0.2819604734140017,0.03253752907215327,0,16,no
2017_dallas-cowboys,0.17324174238209125,0.25551162420164825,0.10381527912388097,0.4246919069807305,0.04273944731164899,9,7,no
2017_denver-broncos,0.0351345856255174,0.4412187267424441,0.1822472414538365,0.3201596564243516,0.021239789753850383,5,11,no
2017_detroit-lions,0.06770391148474068,0.3634273869406242,0.12327007980261069,0.38385768737454107,0.061740934397483335,9,7,no
2017_green-bay-packers,0.07314341081835984,0.3224937255851279,0.24167081686892045,0.33642077949060545,0.02627126723698637,7,9,no
